,count,missing_pct,mean,std,min,p25,median,p75,max
Total Living Area,244574.0,0.0,1170.3219475496169,632.2551269756557,0.0,872.0,1117.0,1498.0,11197.0
Assessed Land Area,244574.0,0.0,16326.174916385226,316441.5465539271,0.0,3207.0,4998.0,6322.75,86093435.0
Rooms,219416.0,10.286457268556756,5.932452510300069,1.4757338483152427,1.0,5.0,6.0,7.0,29.0
Year Built,219424.0,10.28318627491066,1968.8010108283506,32.212251661260126,1870.0,1950.0,1972.0,1990.0,2025.0
Number Floors (Condo),26324.0,89.23679540752491,1.2533429569974168,0.5196973328532005,1.0,1.0,1.0,1.0,4.0
Water Frontage Measurement,235444.0,3.733021498605739,51.49710302398872,132.9770885856475,0.0,31.0,44.0,54.0,29661.5
Sewer Frontage Measurement,235160.0,3.849141773042106,50.84706248248001,116.64118147391689,0.0,31.0,44.0,54.0,23295.0
Dwelling Units,243659.0,0.37411989827209763,1.3546349611547286,7.217405275464518,0.0,1.0,1.0,1.0,925.0
Centroid Lat,244570.0,0.0016354968230474214,49.87945147512811,0.04924839527350521,49.72140215,49.84599236,49.882532155,49.91775846,49.99284881
Centroid Lon,244570.0,0.0016354968230474214,-97.14490430862861,0.0747163401371691,-97.34243642,-97.1883493075,-97.14682109,-97.0943362875,-96.9568607
Air Conditioning,193100.0,21.04639086738574,0.721926462972553,0.44805098442882346,0.0,0.0,1.0,1.0,1.0
Fire Place,221437.0,9.460122498712046,0.27781265100231667,0.4479215199100356,0.0,0.0,0.0,1.0,1.0
Attached Garage,194559.0,20.449843401179194,0.316387316957838,0.4650671933245827,0.0,0.0,0.0,1.0,1.0
Detached Garage,194559.0,20.449843401179194,0.4514774438602172,0.4976412708046381,0.0,0.0,0.0,1.0,1.0
Pool,194559.0,20.449843401179194,0.029451220452407754,0.16906801289158424,0.0,0.0,0.0,0.0,1.0
Multiple Residences,221437.0,9.460122498712046,0.003463739122188252,0.05875165718062195,0.0,0.0,0.0,0.0,1.0
Age,219424.0,10.28318627491066,56.19898917164941,32.212251661260126,0.0,35.0,53.0,75.0,155.0
Area_per_Room,244574.0,0.0,195.13187678668808,88.0611933248645,0.0,173.33333333333334,202.5,236.33333333333334,6943.0
Lot_to_Living_Ratio,244574.0,0.0,3.9472057101748206,9.26165065703322,0.0,2.028886083345506,3.5993767626588014,5.046153846153846,1103.4859625668448
Land_per_Unit,244574.0,0.0,5576.837012182438,50315.854468181766,0.0,2498.0,4622.0,6000.0,18028343.0
Is_Condo,244574.0,0.0,0.10763204592475079,0.30991576489331124,0.0,0.0,0.0,0.0,1.0
Water Frontage Present,244574.0,0.0,0.9626697850139426,0.1895700845901776,0.0,1.0,1.0,1.0,1.0
Sewer Frontage Present,244574.0,0.0,0.9615085822695789,0.19237978016357205,0.0,1.0,1.0,1.0,1.0
Days_Since_Assessment,244572.0,0.0008177484115237107,921.0,0.0,921.0,921.0,921.0,921.0,921.0
Total Assessed Value,244574.0,0.0,532082.378548006,2772154.466196247,0.0,254000.0,348000.0,466000.0,651316000.0
